Organization Name,Estimated Revenue Range,Industries,Headquarters Location,CB Rank (Company),Founded Date,Number of Employees,Last Funding Type,IPO Status,Funding Status,Last Funding Date,Last Funding Amount (in USD),Total Funding Amount (in USD),Last Equity Funding Type,Number of Funding Rounds,Last Equity Funding Amount (in USD),Total Equity Funding Amount (in USD),Top 5 Investors,Number of Investors,Region,Estimated Revenue Range Midpoint,Founded Year,City,Country,Number of Employees Midpoint,Industry_Cluster_0,Industry_Cluster_1,Industry_Cluster_2,Industry_Cluster_3,Industry_Cluster_4,Industry_Cluster_5,Industry_Cluster_6,Industry_Cluster_7,Industry_Cluster_8,Industry_Cluster_9,Industry_Cluster_10,Industry_Cluster_11,Industry_Cluster_12,Industry_Cluster_13,Industry_Cluster_14,Industry_Cluster_15,Industry_Cluster_16,Industry_Cluster_17,Industry_Cluster_18,Industry_Cluster_19,Industry_Cluster_20,Industry_Cluster_21,Industry_Cluster_22,industry_group,log_LFA,log_LEFA,Days_Since_Last_Funding,Revenue_Log_Midpoint,log_Total_Funding,log_Total_Equity_Funding,log_Employees,log_Days_Since_Last_Funding
Igloo,$10M to $50M,"Artificial Intelligence (AI), Financial Services, FinTech, Insurance, InsurTech","Singapore, Central Region, Singapore",3524,2016-06-01,101-250,Series C,Private,Late Stage Venture,2023-12-04,36000000.0,98000000.0,Series C,4,36000000.0,98000000.0,"Cathay Innovation, Finnfund, Partech, Eurazeo, Linear Venture",13.0,ASIAN,30000000.0,2016.0,Singapore,Singapore,175.5,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Finance, Industrial Engineering, Health Insurance, Education",17.399029524198163,17.399029524198163,592,17.216707972959764,18.400478046838927,18.400478046838927,5.173320876373351,6.385194398997726
Sky Mavis,$1B to $10B,"Blockchain, Information Technology, Video Games","Singapore, Central Region, Singapore",6699,2019-04-24,101-250,Series C,Private,Late Stage Venture,2022-04-06,150000000.0,311000000.0,Series C,4,150000000.0,311000000.0,"Andreessen Horowitz, Accel, Paradigm, 500 Global, Samsung NEXT",36.0,ASIAN,5500000000.0,2019.0,Singapore,Singapore,175.5,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Finance, Digital Entertainment, Enterprise",18.826145858727198,18.826145858727198,1199,22.428013929366653,19.555303473358943,19.555303473358943,5.173320876373351,7.090076835776092
Super,$1M to $10M,"Apps, Consumer, E-Commerce","Surabaya, Jawa Timur, Indonesia",95241,2018-04-05,101-250,Series C,Private,Late Stage Venture,2022-06-02,70000000.0,105000000.0,Series C,4,70000000.0,105000000.0,"B Capital, Y Combinator, New Enterprise Associates, DST Global, SBVA",15.0,ASIAN,5500000.0,2018.0,Surabaya,Indonesia,175.5,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Sales, Apps",18.064005814299346,18.064005814299346,1142,15.520258832020865,18.46947091764561,18.46947091764561,5.173320876373351,7.04141166379481
PrivyID,$50M to $100M,"Identity Management, Information Technology","Jakarta, Jakarta Raya, Indonesia",101474,2015-01-01,101-250,Series C,Private,Late Stage Venture,2022-11-13,48000000.0,71610000.0,Series C,6,48000000.0,71610000.0,"Endeavor Catalyst, Bossa Invest, MDI Ventures, Kohlberg Kravis Roberts, GGV Capital",13.0,ASIAN,75000000.0,2015.0,Jakarta,Indonesia,175.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Enterprise,17.6867115897055,17.6867115897055,978,18.132998684833918,18.08674530094765,18.08674530094765,5.173320876373351,6.88653164253051
ElevenLabs,$10M to $50M,"Artificial Intelligence (AI), Content Creators, Developer APIs, Generative AI","New York, New York, United States",27,2022-04-17,101-250,Series C,Private,Late Stage Venture,2025-01-30,180000000.0,281000000.0,Series C,5,180000000.0,281000000.0,"Andreessen Horowitz, Sequoia Capital, Valor Equity Partners, New Enterprise Associates, Endeavor Catalyst",39.0,US,30000000.0,2022.0,New York,United States,175.5,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Machine Learning, Digital Entertainment, Developer Platform",19.00846741441004,19.00846741441004,169,17.216707972959764,19.45386523085674,19.45386523085674,5.173320876373351,5.135798437050262
Writer,$10M to $50M,"Content, Generative AI, Natural Language Processing, Productivity Tools, Virtual Assistant","San Francisco, California, United States",34,2020-08-30,101-250,Series C,Private,Late Stage Venture,2024-11-12,200000000.0,326000000.0,Series C,4,200000000.0,326000000.0,"Insight Partners, B Capital, Radical Ventures, Geodesic Capital, ICONIQ Growth",38.0,US,30000000.0,2020.0,San Francisco,United States,175.5,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,"Machine Learning, Digital Entertainment, Developer Platform, It Management",19.11382792951231,19.11382792951231,248,17.216707972959764,19.602407942398468,19.602407942398468,5.173320876373351,5.517452896464707
Decagon,$1M to $10M,"Artificial Intelligence (AI), Generative AI, Software","San Francisco, California, United States",92,2023-01-01,101-250,Series C,Private,Late Stage Venture,2025-06-23,131000000.0,231000000.0,Series C,4,131000000.0,231000000.0,"Andreessen Horowitz, Accel, Bond, Forerunner, A*",17.0,US,5500000.0,2023.0,San Francisco,United States,175.5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Machine Learning, Apps",18.690707888799015,18.690707888799015,25,15.520258832020865,19.25792827281507,19.25792827281507,5.173320876373351,3.258096538021482
Spacelift,$1M to $10M,"Cloud Data Services, Information Technology, SaaS, Software","Redwood City, California, United States",168,2019-01-01,101-250,Series C,Private,Late Stage Venture,2025-07-10,51000000.0,73600000.0,Series C,4,51000000.0,73600000.0,"Insight Partners, Endeavor Catalyst, Inovo.vc, Five Elms Capital, Hoxton Ventures",6.0,US,5500000.0,2019.0,Redwood City,United States,175.5,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,"Apps, Enterprise, Data Management, Family",17.747336210296442,17.747336210296442,8,15.520258832020865,18.11415559728606,18.11415559728606,5.173320876373351,2.1972245773362196
Tools For Humanity,$1M to $10M,"Blockchain, Hardware, Software","San Francisco, California, United States",230,2019-01-01,101-250,Series C,Private,Late Stage Venture,2023-05-25,115000000.0,115000000.0,Series C,1,115000000.0,115000000.0,"Blockchain Capital, a16z crypto, Bain Capital Crypto, Distributed Global",4.0,US,10196499.099268032,2019.0,San Francisco,United States,175.5,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Finance, Industrial Engineering, Apps",18.560442695023177,18.560442695023177,785,16.13755509185004,18.560442695023177,18.560442695023177,5.173320876373351,6.666956792429207
Olipop,$100M to $500M,"Food and Beverage, Health Care, Nutrition, Plant-Based Foods","Oakland, California, United States",462,2017-01-01,101-250,Series C,Private,Late Stage Venture,2025-02-12,187899533.0,231399533.0,Series C,6,187899533.0,230399533.0,"J.P. Morgan Growth Equity Partners, Dwight Funding, Barrel Ventures, Collaborative Fund, Boulder Food Group ('BFG')",44.0,US,300000000.0,2017.0,Oakland,United States,175.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"Health Insurance, Catering",19.05141798433804,19.05141798433804,156,19.519293035953808,19.259656358892954,19.255325464214522,5.173320876373351,5.056245805348308
Halcyon,$10M to $50M,"Artificial Intelligence (AI), Computer, Cyber Security, Network Security, Software","Austin, Texas, United States",556,2021-09-20,101-250,Series C,Private,Late Stage Venture,2024-11-25,100000000.0,190000000.0,Series C,5,100000000.0,184000000.0,"Founders Fund, Cisco Investments, Bain Capital Ventures, Dropbox Ventures, Harmony Partners",13.0,US,30000000.0,2021.0,Austin,United States,175.5,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Digital Entertainment, Apps, Security",18.420680753952364,18.420680753952364,235,17.216707972959764,19.06253463538792,19.030446321008043,5.173320876373351,5.4638318050256105
Arize AI,$10M to $50M,"Artificial Intelligence (AI), Information Technology, Machine Learning, Software","Berkeley, California, United States",576,2020-01-13,101-250,Series C,Private,Late Stage Venture,2025-02-20,70000000.0,131024999.0,Series C,4,70000000.0,131024999.0,"Battery Ventures, Adams Street Partners, Industry Ventures, The House Fund, Foundation Capital",15.0,US,30000000.0,2020.0,Berkeley,United States,175.5,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Machine Learning, Apps, Enterprise",18.064005814299346,18.064005814299346,148,17.216707972959764,18.690898702652504,18.690898702652504,5.173320876373351,5.003946305945459
Yellow Card,$1M to $10M,"Bitcoin, Cryptocurrency, FinTech, Trading Platform, Virtual Currency","Atlanta, Georgia, United States",580,2016-03-07,101-250,Series C,Private,Late Stage Venture,2024-10-16,33000000.0,89500000.0,Series C,6,33000000.0,89500000.0,"Andreessen Horowitz, MoonPay, Castle Island Ventures, Sozo Ventures, Coinbase Ventures",27.0,US,5500000.0,2016.0,Atlanta,United States,175.5,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"Finance, Industrial Engineering, Sales, Energy",17.312018149733785,17.312018149733785,275,15.520258832020865,18.309749194418266,18.309749194418266,5.173320876373351,5.62040086571715
Empathy,$10M to $50M,"Apps, Health Care, Information Technology, Software","New York, New York, United States",637,2020-01-01,101-250,Series C,Private,Late Stage Venture,2025-05-29,72000000.0,162000000.0,Series C,4,72000000.0,162000000.0,"General Catalyst, Index Ventures, LocalGlobe, Adams Street Partners, MetLife",29.0,US,30000000.0,2020.0,New York,United States,175.5,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Apps, Health Insurance, Enterprise",18.09217669086922,18.09217669086922,50,17.216707972959764,18.903106899369497,18.903106899369497,5.173320876373351,3.9318256327243257
Lovevery,$1M to $10M,"Baby, Child Care, Parenting","Boise, Idaho, United States",649,2015-01-01,101-250,Series C,Private,Late Stage Venture,2021-06-01,100000000.0,125967047.0,Series C,6,100000000.0,125967047.0,"Reach Capital, Founder Collective, Maveron, TCG, Chan Zuckerberg Initiative",14.0,US,5500000.0,2015.0,Boise,United States,175.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Family,18.420680753952364,18.420680753952364,1508,15.520258832020865,18.651530906902913,18.651530906902913,5.173320876373351,7.319202458767849
Navina,$10M to $50M,"Artificial Intelligence (AI), Health Care, Health Diagnostics, Machine Learning, Medical, Software","New York, New York, United States",803,2018-10-01,101-250,Series C,Private,Late Stage Venture,2025-03-25,55000000.0,99000000.0,Series C,5,55000000.0,99000000.0,"Israel Innovation Authority, Vertex Ventures Israel, Grove Ventures, Goldman Sachs Alternatives, Charles and Lynn Schusterman Family Philanthropies",6.0,US,30000000.0,2018.0,New York,United States,175.5,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"Machine Learning, Apps, Health Insurance, Medical",17.822843761378564,17.822843761378564,115,17.216707972959764,18.410630418199872,18.410630418199872,5.173320876373351,4.7535901911063645
Bobbie,$100M to $500M,"Baby, Food and Beverage, Nutrition, Retail","San Francisco, California, United States",806,2018-02-01,101-250,Series C,Private,Late Stage Venture,2023-07-12,70000000.0,141500000.0,Series C,6,70000000.0,141500000.0,"VMG Partners, NextView Ventures, Precursor Ventures, GroundForce Capital, Wave Capital",11.0,US,300000000.0,2018.0,San Francisco,United States,175.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,"Sales, Family, Catering",18.064005814299346,18.064005814299346,737,19.519293035953808,18.767810282114706,18.767810282114706,5.173320876373351,6.6039438246004725
CloudZero,Less than $1M,"Cloud Computing, Cloud Management, Developer Tools, DevOps, Machine Learning, SaaS, Software","Boston, Massachusetts, United States",902,2016-08-08,101-250,Series C,Private,Late Stage Venture,2025-05-28,56000000.0,119125000.0,Series C,9,56000000.0,119125000.0,"Underscore VC, MongoDB, Matrix, G20 Ventures, Threshold",7.0,US,500000.0,2016.0,Boston,United States,175.5,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,"Machine Learning, Apps, Developer Platform, Data Management, Family",17.840862266556567,17.840862266556567,51,13.122365377402328,18.595683928333184,18.595683928333184,5.173320876373351,3.9512437185814275
CyCognito,$1M to $10M,"Cloud Security, Cyber Security, Information Technology, Network Security, SaaS","Palo Alto, California, United States",1018,2017-01-01,101-250,Series C,Private,Late Stage Venture,2021-12-01,100000000.0,153000000.0,Series C,4,100000000.0,153000000.0,"Accel, Lightspeed Venture Partners, Geodesic Capital, Sorenson Capital, UpWest",14.0,US,5500000.0,2017.0,Palo Alto,United States,175.5,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,"Enterprise, Security, Family",18.420680753952364,18.420680753952364,1325,15.520258832020865,18.845948485892656,18.845948485892656,5.173320876373351,7.189922170745808
Onebrief,$1M to $10M,"Information Technology, Military, Productivity Tools, Software","Honolulu, Hawaii, United States",1087,2019-01-01,101-250,Series C,Private,Late Stage Venture,2025-06-16,23581422.0,119783379.0,Series C,9,23581422.0,119783379.0,"General Catalyst, Insight Partners, Y Combinator, Battery Ventures, Caffeinated Capital",10.0,US,5500000.0,2019.0,Honolulu,United States,175.5,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,"Apps, Enterprise, Family, It Management",16.97596979900498,16.97596979900498,32,15.520258832020865,18.60119550280286,18.60119550280286,5.173320876373351,3.4965075614664802
Meter,$10M to $50M,"Information Technology, Internet, IT Infrastructure, Software","San Francisco, California, United States",1170,2015-01-01,101-250,Series C,Private,Late Stage Venture,2025-06-12,170000000.0,255000000.0,Series C,5,170000000.0,255000000.0,"General Catalyst, Sequoia Capital, Microsoft, Tishman Speyer, JP Morgan",20.0,US,20087208.97518649,2015.0,San Francisco,United States,175.5,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Apps, Internet, Enterprise",18.951309000896888,18.951309000896888,36,16.815593850849574,19.35677410704427,19.35677410704427,5.173320876373351,3.6109179126442243
Hydrolix,$1M to $10M,"Cloud Data Services, Database, Information Technology, Internet, Outsourcing","Portland, Oregon, United States",1202,2018-01-01,101-250,Series C,Private,Late Stage Venture,2025-04-03,80000000.0,145000000.0,Series C,5,80000000.0,145000000.0,"QED Investors, S3 Ventures, Wing Venture Capital, Sozo Ventures, Akamai Technologies",16.0,US,5500000.0,2018.0,Portland,United States,175.5,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"Internet, Enterprise, Data Management",18.197537205138154,18.197537205138154,106,15.520258832020865,18.7922443072814,18.7922443072814,5.173320876373351,4.672828834461906
Rad AI,$1M to $10M,"Artificial Intelligence (AI), Enterprise Software, Health Care","San Francisco, California, United States",1236,2018-01-01,101-250,Series C,Private,Late Stage Venture,2025-05-20,8000000.0,151000000.0,Series C,5,8000000.0,151000000.0,"Khosla Ventures, Transformation Capital, QuantumLight, Fifty Years, Kickstart",26.0,US,5500000.0,2018.0,San Francisco,United States,175.5,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Health Insurance, Enterprise",15.894952224644102,15.894952224644102,59,15.520258832020865,18.832790401401716,18.832790401401716,5.173320876373351,4.0943445622221
AttackIQ,$10M to $50M,"Cyber Security, Network Security, Security, Software","Los Altos, California, United States",1245,2013-01-01,101-250,Series C,Private,Late Stage Venture,2021-07-13,44000000.0,75900000.0,Series C,7,44000000.0,75900000.0,"Gaingels, Khosla Ventures, Index Ventures, Salesforce Ventures, Bossa Invest",16.0,US,30000000.0,2013.0,Los Altos,United States,175.5,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Apps, Security",17.599700214609808,17.599700214609808,1466,17.216707972959764,18.144927255541088,18.144927255541088,5.173320876373351,7.2909747781429814
Fingerprint,$1M to $10M,"Cyber Security, Fraud Detection, Software","Chicago, Illinois, United States",1444,2019-01-01,101-250,Series C,Private,Late Stage Venture,2023-10-17,33000000.0,77000000.0,Series C,4,33000000.0,77000000.0,"Nexus Venture Partners, Craft Ventures, Hack VC, Bossa Invest, Uncorrelated Ventures",7.0,US,5500000.0,2019.0,Chicago,United States,175.5,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Apps, Security",17.312018149733785,17.312018149733785,640,15.520258832020865,18.15931599280497,18.15931599280497,5.173320876373351,6.46302945692067
Owner,$1M to $10M,"CRM, Restaurants, Software","Palo Alto, California, United States",1578,2018-01-01,101-250,Series C,Private,Late Stage Venture,2025-05-13,120000000.0,182200000.0,Series C,6,120000000.0,182200000.0,"Y Combinator, Headline, Activant Capital, Mischief, Alt Capital",47.0,US,5500000.0,2018.0,Palo Alto,United States,175.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"Apps, Catering, It Management",18.603002309079653,18.603002309079653,66,15.520258832020865,19.020615548278606,19.020615548278606,5.173320876373351,4.204692619390966
