Organization Name,Organization Name URL,Estimated Revenue Range,Industries,Headquarters Location,Description,CB Rank (Company),Founded Date,Founded Date Precision,Number of Employees,Last Funding Type,IPO Status,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Last Equity Funding Type,Number of Funding Rounds,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Top 5 Investors,Number of Investors,Number of Lead Investors,Website,Founders,Number of Founders,Region
Igloo,https://www.crunchbase.com/organization/axinan,$10M to $50M,"Artificial Intelligence (AI), Financial Services, FinTech, Insurance, InsurTech","Singapore, Central Region, Singapore",Igloo is an insurtech firm that creates insurance solutions to help companies eliminate risk exposure and optimize products.,3524,1-Jun-16,month,101-250,Series C,Private,Late Stage Venture,4-Dec-23,36000000,USD,36000000,98000000,USD,98000000,Series C,4,36000000,USD,36000000,98000000,USD,98000000,"Cathay Innovation, Finnfund, Partech, Eurazeo, Linear Venture",13,4,https://www.iglooinsure.com,"Raunak Mehta, Wei Zhu",2,ASIAN
Sky Mavis,https://www.crunchbase.com/organization/sky-mavis,$1B to $10B,"Blockchain, Information Technology, Video Games","Singapore, Central Region, Singapore",Sky Mavis is a technology company that creates decentralized applications and services.,6699,24-Apr-19,day,101-250,Series C,Private,Late Stage Venture,6-Apr-22,150000000,USD,150000000,311000000,USD,311000000,Series C,4,150000000,USD,150000000,311000000,USD,311000000,"Andreessen Horowitz, Accel, Paradigm, 500 Global, Samsung NEXT",36,4,https://www.Skymavis.com,"Aleksander Leonard Larsen, Jeffrey Zirlin",2,ASIAN
Super,https://www.crunchbase.com/organization/super-1f7d,$1M to $10M,"Apps, Consumer, E-Commerce","Surabaya, Jawa Timur, Indonesia",Super is a social commerce platform that enables leaders to become self-made entrepreneurs and builds logistics network.,95241,5-Apr-18,day,101-250,Series C,Private,Late Stage Venture,2-Jun-22,70000000,USD,70000000,105000000,USD,105000000,Series C,4,70000000,USD,70000000,105000000,USD,105000000,"B Capital, Y Combinator, New Enterprise Associates, DST Global, SBVA",15,3,https://superapp.id,"Debeasinta Budiman, Steven Wongsoredjo",2,ASIAN
PrivyID,https://www.crunchbase.com/organization/privyid,$50M to $100M,"Identity Management, Information Technology","Jakarta, Jakarta Raya, Indonesia","PrivyID is building an unprecedented business model by combining trusted digital ID, digital signature, and document management.",101474,1-Jan-15,year,101-250,Series C,Private,Late Stage Venture,13-Nov-22,48000000,USD,48000000,71610000,USD,71610000,Series C,6,48000000,USD,48000000,71610000,USD,71610000,"Endeavor Catalyst, Bossa Invest, MDI Ventures, Kohlberg Kravis Roberts, GGV Capital",13,6,https://privy.id/,"Guritno Adi Saputra, Marshall Pribadi",2,ASIAN
ElevenLabs,https://www.crunchbase.com/organization/elevenlabs,$10M to $50M,"Artificial Intelligence (AI), Content Creators, Developer APIs, Generative AI","New York, New York, United States",ElevenLabs develops AI audio models for speech and sound generation.,27,17-Apr-22,day,101-250,Series C,Private,Late Stage Venture,30-Jan-25,180000000,USD,180000000,281000000,USD,281000000,Series C,5,180000000,USD,180000000,281000000,USD,281000000,"Andreessen Horowitz, Sequoia Capital, Valor Equity Partners, New Enterprise Associates, Endeavor Catalyst",39,6,http://elevenlabs.io,"Mati Staniszewski, Piotr Dabkowski",2,US
Writer,https://www.crunchbase.com/organization/writer,$10M to $50M,"Content, Generative AI, Natural Language Processing, Productivity Tools, Virtual Assistant","San Francisco, California, United States",Writer is a software firm that develops a full-stack generative AI platform delivering transformative ROI for enterprises.,34,30-Aug-20,day,101-250,Series C,Private,Late Stage Venture,12-Nov-24,200000000,USD,200000000,326000000,USD,326000000,Series C,4,200000000,USD,200000000,326000000,USD,326000000,"Insight Partners, B Capital, Radical Ventures, Geodesic Capital, ICONIQ Growth",38,5,http://writer.com,"May Habib, Waseem AlShikh",2,US
Decagon,https://www.crunchbase.com/organization/decagon-485e,$1M to $10M,"Artificial Intelligence (AI), Generative AI, Software","San Francisco, California, United States",Decagon is a conversational AI platform that provides a centralized AI engine to resolve issues in any language and across all channels.,92,1-Jan-23,year,101-250,Series C,Private,Late Stage Venture,23-Jun-25,131000000,USD,131000000,231000000,USD,231000000,Series C,4,131000000,USD,131000000,231000000,USD,231000000,"Andreessen Horowitz, Accel, Bond, Forerunner, A*",17,3,https://decagon.ai,"Ashwin Sreenivas, Jesse Zhang",2,US
Spacelift,https://www.crunchbase.com/organization/spacelift,$1M to $10M,"Cloud Data Services, Information Technology, SaaS, Software","Redwood City, California, United States","Spacelift is an infrastructure orchestration platform that manages provisioning, configuration, and governance workflows.",168,1-Jan-19,year,101-250,Series C,Private,Late Stage Venture,10-Jul-25,51000000,USD,51000000,73600000,USD,73600000,Series C,4,51000000,USD,51000000,73600000,USD,73600000,"Insight Partners, Endeavor Catalyst, Inovo.vc, Five Elms Capital, Hoxton Ventures",6,5,https://spacelift.io,"Marcin Wyszynski, Pawel Hytry",2,US
Tools For Humanity,https://www.crunchbase.com/organization/tools-for-humanity-a4d2,,"Blockchain, Hardware, Software","San Francisco, California, United States",Tools for Humanity is a technology company building for humans in the age of AI. Currently building tools for World.,230,1-Jan-19,year,101-250,Series C,Private,Late Stage Venture,25-May-23,115000000,USD,115000000,115000000,USD,115000000,Series C,1,115000000,USD,115000000,115000000,USD,115000000,"Blockchain Capital, a16z crypto, Bain Capital Crypto, Distributed Global",4,1,https://www.toolsforhumanity.com,"Alex Blania, Sam Altman",2,US
Olipop,https://www.crunchbase.com/organization/olipop,$100M to $500M,"Food and Beverage, Health Care, Nutrition, Plant-Based Foods","Oakland, California, United States",Olipop is a scientifically formulated beverage crafted with plant fiber and prebiotics to promote optimal digestive health.,462,1-Jan-17,year,101-250,Series C,Private,Late Stage Venture,12-Feb-25,187899533,USD,187899533,231399533,USD,231399533,Series C,6,187899533,USD,187899533,230399533,USD,230399533,"J.P. Morgan Growth Equity Partners, Dwight Funding, Barrel Ventures, Collaborative Fund, Boulder Food Group ('BFG')",44,5,https://www.drinkolipop.com,"Ben Goodwin, David Lester",2,US
Halcyon,https://www.crunchbase.com/organization/halcyon-d8cf,$10M to $50M,"Artificial Intelligence (AI), Computer, Cyber Security, Network Security, Software","Austin, Texas, United States",Halcyon is an anti ransomware and cyber resilience platform that eliminates the business impact of ransomware.,556,20-Sep-21,day,101-250,Series C,Private,Late Stage Venture,25-Nov-24,100000000,USD,100000000,190000000,USD,190000000,Series C,5,100000000,USD,100000000,184000000,USD,184000000,"Founders Fund, Cisco Investments, Bain Capital Ventures, Dropbox Ventures, Harmony Partners",13,5,http://www.halcyon.ai,"Jon Miller, Ryan Smith",2,US
Arize AI,https://www.crunchbase.com/organization/arize-ai,$10M to $50M,"Artificial Intelligence (AI), Information Technology, Machine Learning, Software","Berkeley, California, United States",Arize AI offers an observability platform that explains and troubleshoots production AI.,576,13-Jan-20,day,101-250,Series C,Private,Late Stage Venture,20-Feb-25,70000000,USD,70000000,131024999,USD,131024999,Series C,4,70000000,USD,70000000,131024999,USD,131024999,"Battery Ventures, Adams Street Partners, Industry Ventures, The House Fund, Foundation Capital",15,3,https://arize.com,"Aparna Dhinakaran, Jason Lopatecki",2,US
Yellow Card,https://www.crunchbase.com/organization/yellow-card,$1M to $10M,"Bitcoin, Cryptocurrency, FinTech, Trading Platform, Virtual Currency","Atlanta, Georgia, United States",Yellow Card is the largest and first licensed Stablecoin on/off ramp on the African continent,580,7-Mar-16,day,101-250,Series C,Private,Late Stage Venture,16-Oct-24,33000000,USD,33000000,89500000,USD,89500000,Series C,6,33000000,USD,33000000,89500000,USD,89500000,"Andreessen Horowitz, MoonPay, Castle Island Ventures, Sozo Ventures, Coinbase Ventures",27,6,https://yellowcard.io,"Chris Maurice, Justin Poiroux",2,US
Empathy,https://www.crunchbase.com/organization/empathy-5cb4,$10M to $50M,"Apps, Health Care, Information Technology, Software","New York, New York, United States",Empathy is a support system mobile application that guides and supports families along the journey of loss.,637,1-Jan-20,year,101-250,Series C,Private,Late Stage Venture,29-May-25,72000000,USD,72000000,162000000,USD,162000000,Series C,4,72000000,USD,72000000,162000000,USD,162000000,"General Catalyst, Index Ventures, LocalGlobe, Adams Street Partners, MetLife",29,5,https://www.empathy.com,"Ron Gura, Yonatan Bergman",2,US
Lovevery,https://www.crunchbase.com/organization/lovevery,$1M to $10M,"Baby, Child Care, Parenting","Boise, Idaho, United States",Lovevery is an early learning platform that offers a stage-based system of information for parents and products for children.,649,1-Jan-15,year,101-250,Series C,Private,Late Stage Venture,1-Jun-21,100000000,USD,100000000,125967047,USD,125967047,Series C,6,100000000,USD,100000000,125967047,USD,125967047,"Reach Capital, Founder Collective, Maveron, TCG, Chan Zuckerberg Initiative",14,2,https://lovevery.com,"Jessica Rolph, Roderick Morris",2,US
Navina,https://www.crunchbase.com/organization/navina,$10M to $50M,"Artificial Intelligence (AI), Health Care, Health Diagnostics, Machine Learning, Medical, Software","New York, New York, United States",Navina develops an AI-driven platform that restructures patient data into intuitive patient portraits for better diagnoses and care.,803,1-Oct-18,day,101-250,Series C,Private,Late Stage Venture,25-Mar-25,55000000,USD,55000000,99000000,USD,99000000,Series C,5,55000000,USD,55000000,99000000,USD,99000000,"Israel Innovation Authority, Vertex Ventures Israel, Grove Ventures, Goldman Sachs Alternatives, Charles and Lynn Schusterman Family Philanthropies",6,5,https://www.navina.ai,"Ronen Lavi, Shay Perera",2,US
Bobbie,https://www.crunchbase.com/organization/bobbie,$100M to $500M,"Baby, Food and Beverage, Nutrition, Retail","San Francisco, California, United States",Bobbie offers organic baby formula to parents through a subscription service.,806,1-Feb-18,day,101-250,Series C,Private,Late Stage Venture,12-Jul-23,70000000,USD,70000000,141500000,USD,141500000,Series C,6,70000000,USD,70000000,141500000,USD,141500000,"VMG Partners, NextView Ventures, Precursor Ventures, GroundForce Capital, Wave Capital",11,4,https://www.hibobbie.com,"Laura Modi, Sarah Hardy",2,US
CloudZero,https://www.crunchbase.com/organization/cloudzero,Less than $1M,"Cloud Computing, Cloud Management, Developer Tools, DevOps, Machine Learning, SaaS, Software","Boston, Massachusetts, United States",CloudZero is a cloud cost optimization platform that enables organizations to analyze and manage their cloud expenditures.,902,8-Aug-16,day,101-250,Series C,Private,Late Stage Venture,28-May-25,56000000,USD,56000000,119125000,USD,119125000,Series C,9,56000000,USD,56000000,119125000,USD,119125000,"Underscore VC, MongoDB, Matrix, G20 Ventures, Threshold",7,5,http://www.cloudzero.com,"Erik Peterson, Matt Manger",2,US
